hour,mean_wind,gust_factor,sigma_theta,steadiness
0,2.572266384180791,1.9165410471212365,14.681005367231638,0.9561632860501462
1,2.614643098591549,1.848572366145418,14.792872957746479,0.9547490221660165
2,2.569525779036827,1.820133001138715,14.393867988668555,0.9578038725474373
3,2.5285635593220337,1.8133143363773374,14.456097457627118,0.9569356429395083
4,2.509227683615819,1.859413024890581,14.06953813559322,0.9596698012605105
5,2.4829172316384183,1.836862557136463,14.176833050847458,0.957769489645502
6,2.472654802259887,1.8425447099602308,14.198556214689267,0.9585917530563658
7,2.487272881355932,1.7586854844275472,14.683666101694914,0.9560264233485435
8,2.5668443502824863,1.7318306303303934,15.170020056497174,0.9535925321024592
9,2.6515175141242935,1.706383979078996,14.891708474576271,0.9550982408058596
10,2.770474858757062,1.6594023519177838,14.523539265536723,0.9577664221173449
11,2.907827118644068,1.705679086157539,14.970431355932202,0.9531126164165648
12,3.3187536723163844,1.7273764137432714,15.459178531073446,0.9520072992386774
13,3.8101946327683613,1.7124175856616366,15.887906779661018,0.952158279872472
14,4.222725706214689,1.7022162814364394,15.71629548022599,0.9546712661377759
15,4.586360169491526,1.669316528082536,15.735458757062146,0.9550772817843052
16,4.801822598870057,1.5839829059241999,15.303077118644069,0.9584662758257556
17,4.747548715052245,1.6050855074663546,14.859168031629483,0.9608658891309754
18,4.459156214689266,1.6011139271251291,14.787456214689266,0.961173646148009
19,4.063723728813559,1.692656448308655,14.81683813559322,0.9602941398722977
20,3.502256497175141,1.7235706103409487,15.3747197740113,0.9547919481164089
21,3.105996892655367,1.7668863222636262,15.322585028248588,0.9552783655100765
22,2.8601209039548023,1.8400669640487628,15.524139548022598,0.9526378291310043
23,2.6978022598870055,1.8036373366617628,14.928938418079097,0.9557328528693946
