station_id,role,n_obs,calm_pct,mean_wind_ms,p95_wind_ms,p99_wind_ms,mean_gust_factor,gust>5_pct,gust>10_pct,gust>15_pct,gust>20_pct
EXPLORE8_101,awning · land end,509332,18.58473451501182,1.8547246643054036,4.91744,6.7056,2.0703732441915745,26.20098481933199,1.4016397948685728,0.021596915175170615,0.0
EXPLORE8_100,awning · mid slip,503801,18.751649957026682,1.8081864294195524,5.006848,6.884416,2.096503694056236,25.60554663448465,1.953350628521976,0.033743482049460004,0.0001984910708791765
EXPLORE8_102,open deck,306274,14.64081182209394,2.180676778675304,6.124447999999999,8.49376,1.9951801442678494,30.093315136119948,4.130288565141018,0.11982734414282636,0.0013060200996493337
EXPLORE8_103,over water · wind funnel,501934,16.921746683826957,1.9915081854745844,5.588,7.778496,2.201365463092016,31.12859459610228,3.686938920256448,0.0822817342519136,0.0033868994728390588
EXPLORE8_104,sunny corner,472764,22.08395732331565,1.5209967607008996,4.380992,6.213856,1.9671253110823206,16.106767858804815,0.5776666582057856,0.005288050697599648,0.0016921762232318875
EXPLORE3b,rooftop · Western Weather,84961,4.939913607419875,3.22128149386189,7.128,8.94,1.7468797258481543,45.09951624863173,6.366450489047916,0.14477230729393487,0.0011770106284059744
