station_id,role,mean_gust_factor,p95_gust_factor,pct_buffeting,pct_swirling_sigma
EXPLORE8_101,awning · land end,2.1343292254610695,4.1875,5.315054507351608,
EXPLORE8_100,awning · mid slip,2.171581806031023,4.3076923076923075,5.689578234236183,
EXPLORE8_102,open deck,2.0511859796684315,4.090909090909091,5.470870045897684,
EXPLORE8_103,over water · wind funnel,2.245520746207679,4.612903225806452,6.988388773107424,
EXPLORE8_104,sunny corner,2.0087878811913216,3.9230769230769225,2.545488556813031,
EXPLORE3b,rooftop · Western Weather,1.6799899567839192,2.2887165144843067,1.6505246166263117,0.9322033898305085
