scenario,n,mean_utci_f,pct_no_stress,pct_slight_cold,pct_heat_stress,pct_mod_cold_or_worse,utci_p05_f,utci_p50_f,utci_p95_f,delta_mean_utci_f
baseline,24780,59.18024561899569,81.67473769168684,14.07183212267958,3.9184826472962064,0.33494753833736884,42.20952349576176,59.028984364958355,77.07659500806173,0.0
wind50pct (v × 0.5),24780,65.70403586235844,92.57465698143665,1.364003228410008,6.061339790153349,0.0,52.56440903966588,65.2978662091967,79.88619774060099,6.523790243362747
wind25pct (v × 0.25),24780,68.95747147149973,90.16142050040355,0.004035512510088782,9.83454398708636,0.0,56.62487537545199,68.82441563701488,81.38951142427015,9.777225852504039
